Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan,
35,1,,,FALSE,,,Decomposing Tree Species in Bengal Tiger Reserve,2,Decomposition,Science,Kathleen M.,folder,,,,,,
36,1,1/21/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1zwOxH5rH3cKkIhLC71uJPFmoFYroi9Xg,,Introducing Algorithms using procedural writing,4,Algorithms,ELA,Cory C,folder,,,,https://docs.google.com/document/d/1L4VYiqWUEuQujis2sVvwkok8nncshe-CzYsz4JdJ4BU/edit,,
37,1,10/19/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1cmbG1Bv71_uBwSLK0gRtm4_K4Jnnagvv,,Decomposing a Minecraft Creeper,5,Decomposition,Math,Max S.,folder,,,,https://docs.google.com/document/d/1TWAblR7W-fOB1MZRwqGc9xeZmszPRAKYBQAWXFXdULE/edit,,
38,1,10/31/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/16QiHmbeG81QZfl8c7jyHejZfPUcRmR7s,,Abstracting Identity,"4, 5",Abstraction,SEL,Anne C,folder,,,,https://docs.google.com/document/d/14NQpX9nQ398ccvB4rEsdWVvj91O4zAu0kNJUWYbzoJA/edit,,
39,1,7/12/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1G0N52WyuBAICQF49Tz5js7XMmVrcNgJR,,Decomposing Identity,"4, 5",Decomposition,SEL,Charlie H.,folder,,,,https://docs.google.com/document/d/1sGG_SCoDaZhn-iugymUoSK8NDA-uRWXZ7sFS7hHtl38/edit,,
40,1,1/22/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1U5bfWaXWb165Cvmyp6A9O6A4Ckm59Wju,,Intro to Pattern Recognition,4,Pattern Recognition,"Math, SEL",Estrella M.,folder,,,,https://docs.google.com/document/d/1WjH4rvOcnBw37cyuWpXfBXMsUsqkyrcV_8suhgR3Lw0/edit,,
41,1,1/23/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Y0ZdR_MLI3J0HHw0KQVRyXUqunzkgwR5,,Abstraction and Metaphor Monday,4,Abstraction,"SEL, ELA",Kathleen L.,folder,,,,https://docs.google.com/document/d/184QHRxfnAii3ikRqG3r0Ua_t3VHQOekhbYaDf19Jyfk/edit,,
42,2,08/21/2025,Shannon Wellsteed,FALSE,,Copyright of little books and change of types of pattern through whole lesson may confuse kindergarten,Pattern Recognition/Walk and Sight Word Pattern Book,K,Pattern Recognition,ELA,Beth L.,folder,,,,,,
43,2,08/21/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1EEIMFTvabXAI4S2s_BLDDs-FPSGfOCme?usp=drive_link,Does not meet all points of checklist but is more focused on finding patterns rather than creating patterns. Great lesson for an introduction,I Can Notice Patterns,K,Pattern Recognition,ELA,Lauren M.,folder,,,,https://docs.google.com/document/d/1iQLGzmQ19bfC9yRsX1-qP1eSRp0zT6zLzHL5gR_-ABs/edit,,
44,2,08/21/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1OFDVOMqHA0gIbsbvgM6QI1VvIq3HNUJP?usp=drive_link,,Compound Word Game,K,Decomposition,ELA,Jeni H.,folder,,,,https://docs.google.com/document/d/1ehgMu1x0929MezvRDHiBV7Gl-7WDS8b8FzkZsDEDt2U/edit,,
