Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan,
316,1,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1C_O3b4UW5Gqi3OvkVewvzSGJlY6biCCp?usp=drive_link,,Emoji Feeling Identification,K,Abstraction,SEL,Shannon Wellsteed,https://drive.google.com/drive/folders/1V7k0_7rzaGsNTY3vJhTfoy_vKRgE1ZGk?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1tBes_ZA8y4IVs3c7ixXmDgbBba4q28WeU9t48DbyFzA/edit,,
317,2,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/15u2RPTVC9r74z9rdQTRwbTMcYf50IrcW?usp=drive_link,,Abstract Summaries of a picture book,K,Abstraction,ELA,Shannon Wellsteed,https://drive.google.com/drive/folders/16P9cU4wq4RPxrWL98o4TiuYFkXDnS8qp?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1LShepG1D8dvOAyhZQDn_U8yggxUYM0G0Lkn9BzUeylA/edit,,
318,3,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1Gpb1F2j4nUhOurOe294iEoK1ZKeYpFL6?usp=drive_link,,Winter Patterns,K,Pattern Recognition,Science,Shannon Wellsteed,https://docs.google.com/document/d/15eeu25LlxgsMAVn_RkrROi-k56trJngAEkFFrMU4mws/edit?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1SN1GDhCZKQdprX5w6Dda_iKNh9V_pdQLqHGXMKRXXys/edit,,
319,4,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1GsurGz8AOOXma7U9QZVZoVE5M8vI_rRx?usp=drive_link,,Movement patterns,K,Pattern Recognition,PE,Shannon Wellsteed,https://docs.google.com/document/d/1aLI0dGtch5Xe9gCllnvwVxZrVLI7fXukLKf5jqdXDo8/edit?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1rKH08Z1g7Rum3BplL1HVV7qwmJvG3AvpiVArBuWB3_k/edit,,
320,5,07/02/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1U1ivZ1JNPsCE1C7Rs0fiAKo5Z_rYrWuF?usp=drive_link,,Decomposition of Music,K,Decomposition,Other,Shannon Wellsteed,https://docs.google.com/document/d/1soQmBC8AA8-vNxtNS7deSrichiP9KF_cyBm1YTF5ofk/edit?usp=share_link,Finalized,,,https://docs.google.com/document/d/1bdpdGn5-vsJRiKrYl1i11AvNgqsb0Eop02kFhluQG6U/edit,,
321,6,07/03/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1cJb0uU-xFSYOLqpqiEn9Z-tjpGr3j9FD?usp=drive_link,,Imagination Playground clean up,K,Algorithms,SEL,Shannon Wellsteed,https://docs.google.com/document/d/12HbPEUHbRBTuR480lZ_hsqeDFWYjdbAxvxKILH995gA/edit?usp=sharing,Finalized,,,https://docs.google.com/document/d/1N8S7qZCBUMd7RpAgBUvfqFTaBo7sKCHYdeJN81JGLv0/edit,,
322,3,,,FALSE,,,Emoji Feeling Identification,1,Abstraction,SEL,Shannon Wellsteed- adapted by Cindy Thomas,https://docs.google.com/document/d/1EWyr1enlRktvRJuF3MtMhr4BMMVyveTgmyDuWDw1i9c/edit?usp=drive_link,,,,,,
323,3,08/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1XxcHpEHgPnBzveiKQdwnsUZEcRP74qXk?usp=drive_link,,Snowflake Patterns,2,Pattern Recognition,ELA,Staci Murillo adapted by Theresa Rodocker,https://docs.google.com/document/d/1dnu33fZSBByocKlQc6x4vt98ldBB4EzIEM21Vs91c8M/edit?usp=sharing,Finalized,,,https://docs.google.com/document/d/1H0lVw9W_soj5wsv9Q4i9hBhqjrM6QCNVeAWjCAzjQUw/edit,,
324,4,08/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1qUT_qZzuJO27pNlcYj0SDwodCmltDZyB?usp=drive_link,,Using Patterns to Create A body movement book,2,Pattern Recognition,SEL,Theresa Rodocker,https://docs.google.com/document/d/1yNb_JFwRmx3IOMMMczFdAAtNeF1rHXDCMpQYOx71sjk/edit?usp=sharing,Finalized,,,https://docs.google.com/document/d/1SjSy3qypmajjpARr08ZgdMKbZsBY-t61-xhF4btxo2g/edit,,
325,5,08/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1Us6yaCa1GNGDRp6-bwrtasFU9iWXyPyu?usp=drive_link,,Creating a 3 Digit Algorithm for Adding and Subtracting,2,Algorithms,Math,Theresa Rodocker,https://docs.google.com/document/d/1vPs82T07dWZf3LFRC9p4ocYGxWdwbEg4ZeI3njoPCts/edit?usp=sharing,Needs additonal update,left a comment about what students' are doing ,,https://docs.google.com/document/d/1ysFIhKoL2wFdP9X-KilbqnevcPpW2Pf4u2lm852PdkU/edit,,
326,6,07/18/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1GkZx1TEfQDut2HU3nHY_sbJmQjgDA11N?usp=drive_link,,Fairy Tales,2,Pattern Recognition,ELA,Thresa Rodocker,https://docs.google.com/document/d/1vCdVY2iaYnRmwbfnyF_AGzaN9q7aICrrTgzIi7MFNws/edit?usp=sharing,Finalized,,,https://docs.google.com/document/d/1n6EUx-dxZd9kfdVHaptpFuqbaU67jRMgJemh4VH2BqE/edit,,
327,1,9/17/2025,Charlie Henry,TRUE,FINALIZED Dorr_Y3L1_Math_Abs_LessonPlan,,Abstraction in Rectangular Prisms,5,Abstraction,Math,Trish Dorr,https://drive.google.com/drive/u/0/folders/1N3NyRNGKdx4-tiufg0qT4b6SoUEtD5hY,,,,,,
328,2,12/8/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1g15TS2mpS4rqgM34XjUEBsUvxSFvq32h,,Abstraction in Fraction Representation,5,Abstraction,Math,Trish Dorr,https://drive.google.com/drive/u/1/folders/1SOcNXh2hZfax5q8j6DyBDGGyvAIy_PKb,,,,https://docs.google.com/document/d/1GiDmT1ZS_S2dYLUQQ7HJtBp1sDQbnTeRzjenhMlcEm4/edit,,
329,3,07/24/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1-u_AYT0ZzNSMFgMAP19hfBRKtUoZjbpG,,Decomposing the Elements of a River,5,Decomposition,Science,Trish Dorr,https://drive.google.com/drive/u/0/folders/1vZpI6dkD4Wu2erx1hhuf-m9UYmZEz_Xe,Finalized,,,https://docs.google.com/document/d/19UGA-VwYkrePfpv2Y1OGhEizdlpk3tC3_ku4XhZvj_4/edit,,
330,4,07/25/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1pUic1Z5NcM9KSJ3a4S-lUtH8TreGO551,,Algorithms for Adding Decimals,5,Algorithms,Math,Trish Dorr,https://drive.google.com/drive/u/0/folders/1Veb3njpQ7lSemTnntkjMJs-h8lTHrTGW,Finalized,,,https://docs.google.com/document/d/1WDnXZu_PZUkfXl53qtRwsiT3wSjRQnOlsob2zZtzU0M/edit,,
331,5,10/11/2025,Charlie Henry,TRUE,FINALIZED Dorr_Y3L5_PR_Sci_LessonPlan,,Recognizing Patterns in Predator/Prey Population Cycles,5,Pattern Recognition,Science,Trish Dorr,https://drive.google.com/drive/u/0/folders/1etvZZU7YGaVHQcHR1SxVNn-tjUnAlCiQ,,,,,,
332,6,10/7/2025,Charlie Henry,TRUE,FINALIZED Dorr_Y3L6_SEL_Alg_LessonPlan,,Building Connections while Building with Legos,5,Algorithms,SEL,Trish Dorr,https://drive.google.com/drive/u/0/folders/1sazdl49bK2lDj5U4V6jnGsIVWa5w9Odh,,,,,,
333,5,7/17/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1u5UK368RktdFsN1wqcBhsgCUnXsn_AkO,,Comparing Fractions,4,Pattern Recognition,Math,Estrella Medrano,https://docs.google.com/document/d/1noLP3W2gMOxyFBHRQIzUQhvghXuIR4Vo79KCipaJHo4/edit?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1w2zexJomJaIWeQQcKOp14oWIPyaG0eV9ixdXCldClAc/edit,,
334,6,7/3/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1QpEOcFbad4wrcF2gpUIv4v1m0dqfFpEy,"This was kind of an epic to finalize—if someone else wants to look over it, I'm all about that!",Identifying 2D shapes,4,Decomposition,Math,Estrella Medrano,https://docs.google.com/document/d/1dnyj241QicBycb32wtBq7wCS9mFdOwpamz3q1FJC3iI/edit?usp=sharing,Finalized,,,https://docs.google.com/document/d/1S4-xjaY1HuMzT-ZQabJC6aIkkQU2khT467PL0CFHU1s/edit,,
337,5,07/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1daQJZ6VmUy2x3Q4XAyfoZRftqIgMU4q9?usp=drive_link,,How to Make a Pizza,K,Algorithms,Social Studies,Jeni Hawkins,Hawkins_Y3L5_Algorithm_SS_LessonPlan,Finalized,,,https://docs.google.com/document/d/1AD32QB0oShhXucxgKRDPwO_8RVhPkL1pL0nfoOtu03w/edit,,
338,6,07/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1tPDf7t08a-R5YhvIQ-SJZegUo1u0j269?usp=drive_link,,Breaking Down the Parts of a Pizza,K,Decomposition,"ELA, SEL",Jeni Hawkins,Hawkins_Y3L6_DECOMPOSTION_Social studies,Finalized,,,https://docs.google.com/document/d/1e1yWfJHkQL9BDwNsjRXzg18I9a11fZWEfRUfTYDJPD8/edit,,
339,5,07/08/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/15u4HOcV8HetlZFUj8nIKipEXY3rVKjvx?usp=drive_link,,Word Patterns and Rhyming,K,Pattern Recognition,ELA,Kathleen Lemcke,https://docs.google.com/document/d/1937AtJT_iQjSlK8llDtl6ntUBZsNTgp4eNVM92s_AeM/edit?tab=t.0,Finalized,,,https://docs.google.com/document/d/1ZEElK0d5plJvqek-lVsA3mfhCq55SFzuIpW_JDzA0uY/edit,,
340,6,07/07/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1hFoAM9h7N8fRBy8FnhHe-OU2ic9jomLl?usp=drive_link,,Decomposing teen numbers,K,Decomposition,Math,Kathleen Lemcke,https://docs.google.com/document/d/1cmZHDEYBqL7lappGOq8L1Ax3uRSK3Y1OpZiMbtJU_9E/edit?tab=t.0,Finalized,,,https://docs.google.com/document/d/1Xf6jKx89ePm49K6jgH74B_EaPbSJntulMP0rA4Pym1k/edit,,
341,5,08/05/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1OcQODICAgU3DkU9jiw5DEW-1D9YKyc1D?usp=drive_link,stopped working on because it will take a lot of changes to make it publishable ,Algorithm of a Craft,K,Algorithms,Other,Amy Calavan,https://docs.google.com/document/d/1LUJUqepRsxnbCWY9xFEoPuZEWUm29DJ4ZtKAZpGR7JU/edit?usp=sharing,,,,https://docs.google.com/document/d/1rO7rKzlwmhvQwLVMTncGnc7ql-tzlHFGgBp3fC-vcuI/edit,,
342,6,08/23/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1nfOy4aZfPJcpZDg8-bUW4xp6f5-HZ_5X?usp=drive_link,,Decomposing Three-Dimensional Shapes,K,Decomposition,Math,Amy Calavan,https://docs.google.com/document/d/1Y49BQyD59FjgOBnAjMoCeR3mF0t-AS_QTpBXRu_sxvo/edit?usp=sharing,Finalized,,,https://docs.google.com/document/d/1dRuZFdLaHrrx4-4n2XlWtFtHrLYAS3N0vQnzc9AvVyI/edit,,
343,4,7/9/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1RnG2x16hN19k1MCi_WzyFV9nMOQX7fg2,,Algorithms and Transitional Words,4,Algorithms,ELA,Cory Carnes,https://docs.google.com/document/d/1yPpF37zOgbIYr38GKRs2nT6vSnQQAO_aY_MHGstqbgo/edit?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1J_E99mzHTIHW0Q5U4Y4sNmFw59TRbwrUQkMzBPUsDCY/edit,,
344,5,7/13/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/15uYKl66aIj6qmh-9WSdad_nSLgxeB4SK,,Marshmallow and Toothpick Constructions,4,Algorithms,ELA,Cory Carnes,https://docs.google.com/document/d/1b9cvSqpDq9M40TocMNvTHCZTtSdXJdnIMUqtKUb773A/edit?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1N16m3Bov7qjrfJzq6yJDd1bJQ14V472x-y_nCIJUZtk/edit,,
345,6,7/6/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1YItXd-IrQWjLsyAnh_rls5LkM1cYsEwH,,Abstraction in Literature: Summary Writing,4,Abstraction,ELA,Cory Carnes,https://docs.google.com/document/d/1hDf_0b9s9Oz0afxNUI6p_EoixDwFeYLatmfdsbUJVI8/edit?usp=drive_link,Finalized,,,https://docs.google.com/document/d/1tomxjnhMot7XU09ooh7eCI3M94SJY5wP3XZWd38-44Q/edit,,
