Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
274,6,07/16/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/18OioMdjjDTxO0voGQVLwnOzstR97JoSj?usp=drive_link,,Decompose a Clock to Tell Time,1,Decomposition,Math,Jennifer Mohatt,https://drive.google.com/drive/u/0/folders/1urVm-zXoJHPeMlKG4oyFdiOISb7D0WD3,Finalized,,,,,
298,1,,,FALSE,,,Patterns all around,1,Pattern Recognition,Science,Lauren McGowne adapted by Cindy Thomas,https://drive.google.com/drive/folders/1otgis2hxuBPkv37N_DsqoBp1mS7RGBy4?usp=drive_link,,,,,,
322,3,,,FALSE,,,Emoji Feeling Identification,1,Abstraction,SEL,Shannon Wellsteed- adapted by Cindy Thomas,https://docs.google.com/document/d/1EWyr1enlRktvRJuF3MtMhr4BMMVyveTgmyDuWDw1i9c/edit?usp=drive_link,,,,,,
209,2,,,FALSE,,,Pattern Recognition- Dictionaries,"1, 2",Pattern Recognition,ELA,Amy Kneeland,https://docs.google.com/document/d/1fSuN494Qz42Y_Du1cZ_nXvt7DIexrneKSYvS8nxMklI/edit?tab=t.0,,,,,,
210,3,,,FALSE,,,Writing a Table of Contents,"1, 2",Decomposition,ELA,Amy Kneeland,https://drive.google.com/drive/folders/1F1oezXP_kUHoCElT_Nq7B7HeZWVNCV9p?usp=drive_link,,,,,,
211,4,,,FALSE,,,Putting it Back Together,"1, 2",Decomposition,Math,Amy Kneeland,https://drive.google.com/drive/folders/1Ji2BrM_eLuw7iSo5KYOzahxLihkDKg68?usp=drive_link,,,,,,
280,2,,,FALSE,,,Dictionary Detective,"1, 2",Pattern Recognition,ELA,Kathleen Mateas,https://docs.google.com/document/d/18dJIHEGyUMI7zeXOZLPZFelGB1mx4oypRhx0HIbSr5Q/edit?tab=t.0,,,,,,
281,3,,,FALSE,,,Decomposition - Non-Fiction Text Page Parts,"1, 2",Decomposition,ELA,Kathleen Mateas,https://drive.google.com/drive/folders/16rco5_HmXQAHr3eJd66Bv0EHiIEF_0uF?usp=drive_link,,,,,,
282,4,07/18/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1eB9x_Tf5yytZzk4n60JVzx0qm3DwQA0_?usp=drive_link,,Scientists Need a Plan,"1, 2",Algorithms,Science,Kathleen Mateas,https://drive.google.com/drive/folders/1qDSWXzQeRqyNpHzX2KWMhmW6mGi-RKrx?usp=drive_link,Finalized,,,,,
283,5,01/12/2025,Shannon Wellsteed,FALSE,https://drive.google.com/drive/folders/1PFtQ1xYR9VlusEAa16swpvDrqqyoEHcq?usp=drive_link,,Telling Time is Tricky,"1, 2",Algorithms,Math,Kathleen Mateas,https://drive.google.com/drive/folders/149is8hwGNSWYeIjg-zSZWaZiRuha3khn?usp=drive_link,,,,,,
284,6,,,FALSE,,,Keying Into Maps,"1, 2",Abstraction,Social Studies,Kathleen Mateas,https://drive.google.com/drive/folders/1C6q4xN2si4HOptz8E0oGMVDZn6pZZoQX?usp=drive_link,,,,,,
28,1,08/24/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1XWPq9H1zav2-_x3r0vx8SE9kCxdT4l1h?usp=drive_link,,How do we get there?,2,Algorithms,ELA,Faith M.,folder,,,,,,
30,1,,,FALSE,,,Decomposing numbers,2,Decomposition ,Math,Melanie S.,folder,,,,,,
31,1,,,FALSE,,,Introducing Algorithms using procedural writing.,2,Algorithms,ELA,Jen D.,folder,,,,,,
34,1,,,FALSE,,,Science plant and animal habitat-map,2,Decomposition,Science,Amy P.,folder,,,,,,
35,1,,,FALSE,,,Decomposing Tree Species in Bengal Tiger Reserve,2,Decomposition,Science,Kathleen M.,folder,,,,,,
